Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
GradientBoosting,0.87,0.7928286852589641,0.48894348894348894,0.6048632218844985,0.8708307691358538
RandomForest,0.868,0.8235294117647058,0.44717444717444715,0.5796178343949044,0.8642633388396099
LogisticRegression,0.8085,0.59375,0.18673218673218672,0.2841121495327103,0.7748009951399781
